scenario,system,phase,version,metric,value
compressible,cavs-fastcdc-256k,logical,4,latest_version_kb,65536
many-files,cavs-fastcdc-256k,push,1,time_s,5.51
many-files,cavs-fastcdc-256k,push,1,remote_kb,178587
many-files,cavs-fastcdc-256k,push,1,remote_growth_kb,178587
many-files,cavs-fastcdc-256k,update,1,time_s,4.32
many-files,cavs-fastcdc-256k,update,1,dl_total_kb,88516
many-files,cavs-fastcdc-256k,push,2,time_s,2.29
many-files,cavs-fastcdc-256k,push,2,remote_kb,196304
many-files,cavs-fastcdc-256k,push,2,remote_growth_kb,17717
many-files,cavs-fastcdc-256k,update,2,time_s,2.59
many-files,cavs-fastcdc-256k,update,2,dl_total_kb,97293
many-files,cavs-fastcdc-256k,push,3,time_s,2.94
many-files,cavs-fastcdc-256k,push,3,remote_kb,209713
many-files,cavs-fastcdc-256k,push,3,remote_growth_kb,13409
many-files,cavs-fastcdc-256k,update,3,time_s,2.48
many-files,cavs-fastcdc-256k,update,3,dl_total_kb,103918
many-files,cavs-fastcdc-256k,push,4,time_s,1.96
many-files,cavs-fastcdc-256k,push,4,remote_kb,220929
many-files,cavs-fastcdc-256k,push,4,remote_growth_kb,11216
many-files,cavs-fastcdc-256k,update,4,time_s,1.98
many-files,cavs-fastcdc-256k,update,4,dl_total_kb,109454
many-files,cavs-fastcdc-256k,clone_cold,4,time_s,2.81
many-files,cavs-fastcdc-256k,clone_cold,4,dl_total_kb,88527
many-files,cavs-fastcdc-256k,verify,4,sha256_ok,1
many-files,cavs-fastcdc-256k,clone_warm,4,time_s,2.85
many-files,cavs-fastcdc-256k,clone_warm,4,dl_new_kb,0
many-files,cavs-fastcdc-256k,storage,4,store_kb,110190
many-files,cavs-fastcdc-256k,storage,4,export_kb,110641
many-files,cavs-fastcdc-256k,breakdown,4,store_pack_data_kb,109472
many-files,cavs-fastcdc-256k,breakdown,4,store_pack_index_kb,52
many-files,cavs-fastcdc-256k,breakdown,4,store_meta_kb,664
